id,brand,categories,ingredients,manufacturer,manufacturerNumber,name,text_corpus
0,Simon Fischer,"Grocery & Gourmet Food,Food,Grocery","dried prunes,water,corn syrup,sugar,pectin.",Sokol And Company,33829,Simon Fischer Fruit Bttr Prune Lekvar,"This product is a Simon Fischer Fruit Bttr Prune Lekvar from the brand Simon Fischer. It falls under the category of grocery & gourmet food,food,grocery and contains ingredients such as dried prunes,water,corn syrup,sugar,pectin.. It is manufactured by sokol and company (manufacturer code: 33829)."
1,McCormick,"Grocery & Gourmet Food,Food,Grocery","salt,sugar,molasses (refinery syrup, molasses, caramel color),spices (including black pepper),garlic onion,tapioca maltodextrin,bacon fat and cooked bacon (cured with water, salt, sodium erythorbate, sodium nitrate),silicon dioxide (to make free flowing),autolyzed yeast,sunflower oil,corn maltodextrin,vinegar,extractives of paprika,and natural flavor (including smoke)","McCormick & Co, Inc",MCLANE500373852,Mccormick Grill Mates Molasses Bacon Seasoning 1 X 77G Jar American Import,"This product is a Mccormick Grill Mates Molasses Bacon Seasoning 1 X 77G Jar American Import from the brand McCormick. It falls under the category of grocery & gourmet food,food,grocery and contains ingredients such as salt,sugar,molasses (refinery syrup, molasses, caramel color),spices (including black pepper),garlic onion,tapioca maltodextrin,bacon fat and cooked bacon (cured with water, salt, sodium erythorbate, sodium nitrate),silicon dioxide (to make free flowing),autolyzed yeast,sunflower oil,corn maltodextrin,vinegar,extractives of paprika,and natural flavor (including smoke). It is manufactured by mccormick & co, inc (manufacturer code: mclane500373852)."
2,Hero,"Food,Other Grocery,Grocery","red raspberries,sugar,glucose syrup,citric acid,pectin. contains: wheat.","HERO, INC.",B1080406602008,Hero Fruit Sprd Blk Currant-12 Oz -Pack Of 8,"This product is a Hero Fruit Sprd Blk Currant-12 Oz -Pack Of 8 from the brand Hero. It falls under the category of food,other grocery,grocery and contains ingredients such as red raspberries,sugar,glucose syrup,citric acid,pectin. contains: wheat.. It is manufactured by hero, inc. (manufacturer code: b1080406602008)."
3,Simply Asia,"Grocery & Gourmet Food,Grocery","noodles: wheat flour,water,wheat gluten,modified tapioca starch,salt,sodium alginate,lactic acid. sauce packet: sugar,water,soy sauce (water, soybean, wheat, salt),plum sauce (plum juice, sugar, plum, water, licorice extract, citric acid, sodium citrate, salt, xanthan gum, caramel color),rice vinegar,pineapple juice concentrate,salt,hydrolyzed soy protein,tomato paste,modified corn starch,orange juice concentrate,onion,yeast extract,red chili pepper. vegetable packet: ...",Simply Asia,900034971,Simply Asia Noodle Bowl Mandarin Orange -- 8.5 Oz,"This product is a Simply Asia Noodle Bowl Mandarin Orange -- 8.5 Oz from the brand Simply Asia. It falls under the category of grocery & gourmet food,grocery and contains ingredients such as noodles: wheat flour,water,wheat gluten,modified tapioca starch,salt,sodium alginate,lactic acid. sauce packet: sugar,water,soy sauce (water, soybean, wheat, salt),plum sauce (plum juice, sugar, plum, water, licorice extract, citric acid, sodium citrate, salt, xanthan gum, caramel color),rice vinegar,pineapple juice concentrate,salt,hydrolyzed soy protein,tomato paste,modified corn starch,orange juice concentrate,onion,yeast extract,red chili pepper. vegetable packet: .... It is manufactured by simply asia (manufacturer code: 900034971)."
4,EMERIL S,"Food,Fresh Food,Grocery","wheat flour,soybean oil,salt,dehydrated garlic,sugar,onion powder,garlic powder,yeast,spices. contains: wheat.","B&G Foods, Inc.",50909512,Italian Bread Crumbs,"This product is a Italian Bread Crumbs from the brand EMERIL S. It falls under the category of food,fresh food,grocery and contains ingredients such as wheat flour,soybean oil,salt,dehydrated garlic,sugar,onion powder,garlic powder,yeast,spices. contains: wheat.. It is manufactured by b&g foods, inc. (manufacturer code: 50909512)."
5,Back to Nature,"Grocery & Gourmet Food,Food","rolled oats,brown rice syrup,evaporated cane juice,brown rice crisp (brown rice, brown rice syrup, salt),water,non-gmo canola oil,oat bran,oat syrup solids,chia seeds,chicory root fiber,honey,orange granules,natural flavors,natural vitamin e.",BACK TO NATURE FOODS COMPANY,11201,Back To Nature Cereal Orange Crunch Gran,"This product is a Back To Nature Cereal Orange Crunch Gran from the brand Back to Nature. It falls under the category of grocery & gourmet food,food and contains ingredients such as rolled oats,brown rice syrup,evaporated cane juice,brown rice crisp (brown rice, brown rice syrup, salt),water,non-gmo canola oil,oat bran,oat syrup solids,chia seeds,chicory root fiber,honey,orange granules,natural flavors,natural vitamin e.. It is manufactured by back to nature foods company (manufacturer code: 11201)."
6,Nutrament,"Food,Fresh Food,Grocery","skim milk,sugar,corn syrup,canola oil,high oleic sunflower oil,calcium caseinate,soy protein isolate,corn oil,sodium caseinate,artificial flavor,magnesium phosphate,magnesium chloride,carrageenan,soy lecithin,sodium ascorbate,ferrous sulfate,zinc sulfate,vitamin e acetate,niacinamide,red 3,calcium pantothenate,cupric sulfate,manganese sulfate,vitamin a palmitate,vitamin b6 hydrochloride,thiamin hydrochloride,riboflavin,chromium chloride,folic acid,vitamin d3,biotin,sodium molybdate,sodium selenite,vitamin k1,vitamin b12.",Nutrament,3412,Nutrament Strawberry Complete Nutrition Drink 12 Fl. Oz. Can,"This product is a Nutrament Strawberry Complete Nutrition Drink 12 Fl. Oz. Can from the brand Nutrament. It falls under the category of food,fresh food,grocery and contains ingredients such as skim milk,sugar,corn syrup,canola oil,high oleic sunflower oil,calcium caseinate,soy protein isolate,corn oil,sodium caseinate,artificial flavor,magnesium phosphate,magnesium chloride,carrageenan,soy lecithin,sodium ascorbate,ferrous sulfate,zinc sulfate,vitamin e acetate,niacinamide,red 3,calcium pantothenate,cupric sulfate,manganese sulfate,vitamin a palmitate,vitamin b6 hydrochloride,thiamin hydrochloride,riboflavin,chromium chloride,folic acid,vitamin d3,biotin,sodium molybdate,sodium selenite,vitamin k1,vitamin b12.. It is manufactured by nutrament (manufacturer code: 3412)."
7,kikkoman,"Fresh Food,Food,Grocery","filtered water,whole organic soybeans,organic evaporated cane juice,organic malt syrup,tricalcium phosphate,sea salt,carrageenan,organic natural vanilla flavor,vitamin a palmitate,vitamin d2.",Jfc International Inc. Box 1 of 3,4139006136,"Kikkoman Original Pearl Organic Soymilk, 32Oz","This product is a Kikkoman Original Pearl Organic Soymilk, 32Oz from the brand kikkoman. It falls under the category of fresh food,food,grocery and contains ingredients such as filtered water,whole organic soybeans,organic evaporated cane juice,organic malt syrup,tricalcium phosphate,sea salt,carrageenan,organic natural vanilla flavor,vitamin a palmitate,vitamin d2.. It is manufactured by jfc international inc. box 1 of 3 (manufacturer code: 4139006136)."
8,kikkoman,"Food,Fresh Food,Grocery","filtered water,whole organic soybeans,organic evaporated cane juice,organic dutch processed cocoa powder,tricalcium phosphate,sea salt,carrageenan,organic natural vanilla flavor,vitamin a palmitate,vitamin d2.",Jfc International Inc. Box 1 of 3,4139006152,"Kikkoman Chocolate Pearl Organic Soymilk, 32 Fl Oz","This product is a Kikkoman Chocolate Pearl Organic Soymilk, 32 Fl Oz from the brand kikkoman. It falls under the category of food,fresh food,grocery and contains ingredients such as filtered water,whole organic soybeans,organic evaporated cane juice,organic dutch processed cocoa powder,tricalcium phosphate,sea salt,carrageenan,organic natural vanilla flavor,vitamin a palmitate,vitamin d2.. It is manufactured by jfc international inc. box 1 of 3 (manufacturer code: 4139006152)."
9,STELLA D'ORO,"Fresh Food,Food,Grocery","enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid),soybean oil,corn and malt syrup,salt,garlic,yeast,garlic oil,tocopherols added to preserve freshness.",Lance,102617,"Stella D'Oro Roasted Garlic Breadsticks, 7.8 Oz","This product is a Stella D'Oro Roasted Garlic Breadsticks, 7.8 Oz from the brand STELLA D'ORO. It falls under the category of fresh food,food,grocery and contains ingredients such as enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid),soybean oil,corn and malt syrup,salt,garlic,yeast,garlic oil,tocopherols added to preserve freshness.. It is manufactured by lance (manufacturer code: 102617)."
